Industry Baby,Lil Nas X,https://www.noteflight.com/scores/view/01decdee5641c0e106c3098ae59ed7f655a6a0bd,tr tb
I Miss You,Blink 182,https://www.noteflight.com/scores/view/747985bb66ac4fa3987d640a26616d03dab8039a,brasses
White Winter Hymnal,Fleet Foxes,https://www.noteflight.com/scores/view/b580cb72e88b86acefda8b5d2e06111b89fc30fa,guitars and voices
Snowqueen of Texas,"Mamas and the Papas, The",https://www.noteflight.com/scores/view/2eeea53b8668ca4af93228c5e90c95ff483ccfd7,guitars and voices
Fake Plastic Trees,Radiohead,https://www.noteflight.com/scores/view/1b7dea80bf9d95d51df64f30c6032a282e79dfd3,guitars and voices
Blowin in the Wind,"Peter, Paul and Mary",https://www.noteflight.com/scores/view/4e0cdf564b63c7a4a31a7db921fe5ee7b4a07a9e,guitars and voices
All the Small Things,Blink 182,https://www.noteflight.com/scores/view/59136bb61c165270eceb0d03e636c806a30ee554,guitars and voices
Sunny Afternoon,"Kinks, The",https://www.noteflight.com/scores/view/68f6848dfde92cefdaedeb100b71ea80da15f684,guitars and voices
There is a Light That Never Goes Out,"Smiths, The",https://www.noteflight.com/scores/view/0d417648ffdb3568bffa1531715b430b49f02cd3,guitars and voices
Im Not My Season,Fleet Foxes,https://www.noteflight.com/scores/view/bd0f14b9b94dbc84c138672144d89ab9c8f1780b,guitars and voices
Follow You,Imagine Dragons ,https://www.noteflight.com/scores/view/a49f5be0866a0b3b3daef11780461544a5a04a94,vn vc
Leave Before You Love Me,Marshmello,https://www.noteflight.com/scores/view/9a815e15e6d880d01e1eed9a15ade7364691775d,vn vc
Todo de Ti,Rauw Alejandro,https://www.noteflight.com/scores/view/637721144d4b7be25f22809622580bd14ab2b628,vn vc
Good 4 U,Olivia Rodrigo,https://www.noteflight.com/scores/view/985972f6b6570f406032a4c50707fd487dab9943,vn vc
Resistance,Muse,https://www.noteflight.com/scores/view/b4e3211fd33aba8fcdeda2f1bbb2425313015e2c,vn vc
Stay,Kid LAROI,https://www.noteflight.com/scores/view/7de8a0a089b6b0ce9fe0fbfc6cad00fa3bd397d4,vn vc
Beggin,Maneskin,https://www.noteflight.com/scores/view/f74f62059cb4df4bacd702f1bda32cd7dcd2e7b4,vn vc gtr
Dance Monkey,Tones & I,https://www.noteflight.com/scores/view/c181a3b415cce56b32cf9688df2c99ae01fa7a3b,vn vc gtr
Colorado,Milky Chance,https://www.noteflight.com/scores/view/599a97e5e3bed85eb1a5945d73d603630ce3c713,vn vc gtr perc
This Will Be,Natalie Cole,https://www.noteflight.com/scores/view/a97cd5f522b37d3cb3ae92a39c180d8a1df7b648,vn vc gtr perc
Levitating,Dua Lipa,https://www.noteflight.com/scores/view/fa41c985b41ace548b5c69bc6586e054981c20e9,vn vc perc
Butter,BTS,https://www.noteflight.com/scores/view/ffefe6276f5f99e67dc1091a3fb08ca06ec94971,vn vc perc
Ahesta Bero,Traditional Afghan,https://www.noteflight.com/scores/view/b5597a7b1f04b591adf69097858ebcb424e12fbd,vn vc perc
Deja Vu,Olivia Rodrigo,https://www.noteflight.com/scores/view/805ba02c0f75a377fdb0af2253e3b70f55b93b9b,strings
Industry Baby,Lil Nas X,https://www.noteflight.com/scores/view/af689f79ae31e117ebcf5359d50f7cd8fc9fe2d3,strings
Kiss Me More,Doja Cat,https://www.noteflight.com/scores/view/2816a42d308cac4b6683dc558bda92ca7ec2742f,strings
Rumors,Lizzo,https://www.noteflight.com/scores/view/f4b84eb1edd270e84dcda56a48c792e25c6a6fbc,strings
Bad Habits,Ed Sheeran,https://www.noteflight.com/scores/view/2c056f23917b8a13bd4f6899af7d1223f5a40130,strings
Sorry,Justin Bieber,https://www.noteflight.com/scores/view/e4e9d2ac0ce1ba99e53e405a8984a6e545b76182,strings
Butter,BTS,https://www.noteflight.com/scores/view/0cf1b39952c6fa3a20a2578ed0f49cbb8b2ead9d,strings
Good 4 U,Olivia Rodrigo,https://www.noteflight.com/scores/view/8465e5195e29a5f3647655a534fac359b24c10b7,strings
I Keep Forgettin,Michael McDonald,https://www.noteflight.com/scores/view/2bf75d6134060dfe6d5df98bcd785b873faf55c9,tr tb
Candy,Cameo,https://www.noteflight.com/scores/view/f4957c33e290fb41eb2b4ad8f810d8960b303d4f,tr tb
Electric Feel,MGMT,https://www.noteflight.com/scores/view/e7d80a089f310bb2970d217aac4a62d6b41e31d6,tr tb
Fat Lip,Sum 41,https://www.noteflight.com/scores/view/9a664f6eb5c78af7b4fc4d2dea7a633b062bd08f,tr tb
99 Luftballons,Nena,https://www.noteflight.com/scores/view/b2dd5d4162e7f3c299d6df2393931b3c4ad4c6a0,tr tb
1999 Space Club,Arling and Cameron,https://www.noteflight.com/scores/view/2420eb670bc5524346aaad58672f14900cd87c41,tr tb
